mode,quantity,time_of_peak_total_s,total_at_peak_kN,modal_value_at_peak_kN,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,base shear,14.02,-183.2992534927172,-163.813190627802,0.8936926228906358,0.8936926228906358
2,base shear,14.02,-183.2992534927172,-18.734115811049847,0.10220508514942853,0.9958977080400643
3,base shear,14.02,-183.2992534927172,-0.5877035977914703,0.003206251998264798,0.999103960038329
4,base shear,14.02,-183.2992534927172,-0.12392286183848426,0.0006760685571663167,0.9997800285954953
5,base shear,14.02,-183.2992534927172,-0.040320594235454706,0.00021997140450469272,1.0
