mode,quantity,time_of_peak_total_s,total_at_peak_m,modal_value_at_peak_m,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,roof displacement,14.02,-0.015799359512505867,-0.016431832332458353,1.0400315480796458,1.0400315480796458
2,roof displacement,14.02,-0.015799359512505867,0.0006437812473475314,-0.04074730034707743,0.9992842477325683
3,roof displacement,14.02,-0.015799359512505867,-1.2811403451147716e-05,0.0008108811905322455,1.0000951289231006
4,roof displacement,14.02,-0.015799359512505867,2.1028671777220046e-06,-0.0001330982547778279,0.9999620306683228
5,roof displacement,14.02,-0.015799359512505867,-5.998911216186117e-07,3.796933167726023e-05,1.0
