time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,Ddot_mode_1_m_per_s,Dddot_mode_1_m_per_s2,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,Ddot_mode_2_m_per_s,Dddot_mode_2_m_per_s2,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,Ddot_mode_3_m_per_s,Dddot_mode_3_m_per_s2,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,Ddot_mode_4_m_per_s,Dddot_mode_4_m_per_s2,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,Ddot_mode_5_m_per_s,Dddot_mode_5_m_per_s2,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
0.0,-0.0002180011,-0.002138590791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002138590791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002138590791,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.002138590791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002138590791,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.002138590791,0.0,0.0,0.0,0.0
0.02,0.0001291326,0.001266790806,8.638197177042788e-08,3.4008650303318064e-06,0.002622286642893402,0.0005895134886933536,8.516141079923597e-08,3.352811448788818e-06,8.516141079923598e-06,-0.0012869766830076403,1.0659668259529586e-07,4.196719787216373e-06,0.0010626899260517246,0.0002389021991183977,7.695653577977553e-08,3.029784873219509e-06,7.695653577977554e-06,-0.0013690254332022448,-2.7869686785604847e-08,-1.0972317632127893e-06,0.0008110114142193315,0.00018232261887244944,6.62218927085079e-08,2.6071611302562165e-06,6.62218927085079e-06,-0.0014763718639149211,1.0501365437965342e-08,4.134395841718639e-07,0.0004817341264092605,0.00010829813981312818,5.749493596538683e-08,2.2635801561175917e-06,5.749493596538685e-06,-0.0015636414313461317,-3.6320989054456922e-09,-1.4299601989943671e-07,0.0002140411413576968,4.811836276847955e-05,5.2238702254891345e-08,2.0566418210587145e-06,5.223870225489136e-06,-0.0016162037684510865,7.857094282172044e-10,3.093344205579545e-08,5.2810034855388565e-05,1.1872168120898776e-05
0.04,5.806444e-05,0.0005696121564000001,7.55535149929647e-08,2.974547834368689e-06,0.0011519197094235053,0.00025896185241122384,7.006993874840508e-08,2.75865900584272e-06,-1.002528828500669e-05,-0.0005671662534853883,8.770666138732603e-08,3.4530181648553555e-06,0.0008743704141131903,0.00019656628867444252,3.622686373789974e-08,1.4262544778700684e-06,-1.1768620782165132e-05,-0.0005774020028120239,-1.3119500967264e-08,-5.165157861127559e-07,0.00038177913929080947,8.582736480148404e-05,6.724693895376694e-10,2.647517281644368e-08,-1.3177131602747811e-05,-0.0005035602234449389,1.0663915687920619e-10,4.198392003118354e-09,4.891908712604315e-06,1.0997448274208415e-06,-2.0944910886630183e-08,-8.24602790812212e-07,-1.3593478281740385e-05,-0.00037065575648177534,1.3231424059987684e-09,5.209222070861293e-08,-7.797334767897608e-05,-1.7529105881656878e-05,-3.0811421725117e-08,-1.2130480994140553e-06,-1.352888262348997e-05,-0.00025907151644682415,-4.634269899753118e-10,-1.8245157085642197e-08,-3.114840501412241e-05,-7.002440010466583e-06
0.06,-0.001951005,-0.019139359050000002,1.722589301452661e-06,6.781847643514414e-05,0.05005748932183992,0.011253371268667876,1.6864712233917955e-06,6.639650485794471e-05,0.00017166541674934572,0.01873623675692063,2.110958895805521e-06,8.310861794509926e-05,0.021044695747227657,0.004731035808789222,1.460845975731046e-06,5.751362109177347e-05,0.00015423053198147975,0.017177317279176513,-5.290430419340051e-07,-2.0828466217874217e-05,0.015395219505782577,0.0034609830258830287,1.2107721033857719e-06,4.7668193046683936e-05,0.0001341870950023712,0.015239982883956841,1.9200236960479395e-07,7.559148409637557e-06,0.00880781592988676,0.0019800757902146363,1.0365087170745477e-06,4.080742980608456e-05,0.00011933884107785819,0.013663887692441631,-6.547884806825098e-08,-2.5779074042618497e-06,0.003858696511348407,0.0008674694844587754,9.407724370190017e-07,3.7038284922007944e-05,0.00011068726849790184,0.012680686628586004,1.4149926044602181e-08,5.57083702543393e-07,0.0009510616275945169,0.0002138071593222138
0.08,-0.001375397,-0.01349264457,8.410400426017343e-06,0.00033111812700855687,0.2309545716529259,0.05192065315734063,8.18668993471897e-06,0.0003223106273511405,0.00047835645438337173,0.011932867006481971,1.0247293701305974e-05,0.000403436759893936,0.10215792387287402,0.022966014895121494,6.789227379717595e-06,0.0002672924165243148,0.0003786076084171751,0.005260390364393023,-2.458707875448678e-06,-9.679952265545977e-05,0.07154871048819232,0.016084789984997686,5.240616853812625e-06,0.00020632349818159942,0.0002687973800403141,-0.00177895438016255,8.310489243261404e-07,3.2718461587643326e-05,0.038123102174527926,0.008570414307537898,4.164756186220781e-06,0.00016396677898507014,0.00019348590583676516,-0.006249181216550933,-2.6309806475003877e-07,-1.0358191525592078e-05,0.015504481440102545,0.0034855460858585307,3.581186384747737e-06,0.0001409915899506983,0.00015335412627497168,-0.00841400085087902,5.3863740583944456e-08,2.1206197080293095e-06,0.0036203536772290807,0.0008138878838250201
0.1,-0.00152093,-0.0149203233,2.100972482607346e-05,0.0008271545207115536,0.5018155916572267,0.11281263279141703,2.0107628313370004e-05,0.000791638909975197,0.0007137373834817317,0.011605225903354024,2.5168752524749346e-05,0.0009908957686909192,0.25091380996241597,0.05640766842677235,1.4703307862989504e-05,0.0005788703883066734,0.00041280043991001575,-0.0018411072151089565,-5.324779509650554e-06,-0.00020963698856891946,0.1549517579350181,0.034834540932813594,9.372588635650044e-06,0.00036899955258464743,0.00014439979814342778,-0.010660803809526078,1.4862906259101365e-06,5.8515378972840025e-05,0.06818131608624586,0.015327769608496222,6.1882712286571095e-06,0.00024363272553768148,8.865598406867641e-06,-0.012212849526438817,-3.909285709916754e-07,-1.5390888621719502e-05,0.02303758782530288,0.0051790557705730985,4.679935579694182e-06,0.00018424943227142448,-4.347920678032719e-05,-0.011269332454650867,7.038975605621149e-08,2.771250238433523e-06,0.0047311198482439575,0.001063598052761787
0.12,-0.001118726,-0.010974702060000001,3.868911456844817e-05,0.0015231934869467784,0.7671072576004055,0.17245257182526452,3.6089730808842884e-05,0.0014208555436552317,0.0008844728660655562,0.0054683223550284245,4.517357737354921e-05,0.0017784872981712288,0.4503470880125435,0.1012420528841322,2.1508809203940734e-05,0.0008468035119661707,0.00026774969418510725,-0.012663967357381897,-7.789380974223883e-06,-0.00030666854229227886,0.22667197261296254,0.05095788659344663,9.759941152313007e-06,0.0003842496516658664,-0.00010566454647713147,-0.014345630652529848,1.5477163895725927e-06,6.0933716124905226e-05,0.07099912932889103,0.01596123922542765,4.4433636106062854e-06,0.0001749355752207199,-0.00018335636021195003,-0.007009346335442951,-2.806983925731506e-07,-1.1051117817840577e-05,0.016541676283524966,0.0037187167623967945,2.5198320598699964e-06,9.920598660905498e-05,-0.00017253114520209136,-0.0016358613875255487,3.790017212340784e-08,1.4921327607640882e-06,0.0025473913624835484,0.000572676359861258
0.14,0.0004013978,0.003937712418,5.904574998996056e-05,0.0023246358263764,0.9373967171134294,0.21073516523940838,5.317454682060818e-05,0.0020934860952995346,0.0008240087351109733,-0.011514735450486705,6.655867060431461e-05,0.0026204201025320714,0.6635406189059169,0.14916986523996695,2.280757141000971e-05,0.0008979358822838469,-0.0001378734735782097,-0.027898349418949798,-8.259725637290642e-06,-0.00032518604871223004,0.2403590618615333,0.054034866661529235,4.759916434336434e-06,0.00018739828481639505,-0.00039433792532052585,-0.01452170723180959,7.548201944509194e-07,2.971733049019368e-05,0.03462622542924612,0.00778428514228114,-7.409688963747071e-08,-2.9172003794279808e-06,-0.0002683896898124256,-0.0014939866246046068,4.6808858420367305e-09,1.8428684417467442e-07,-0.0002758466039271259,-6.201278348650163e-05,-8.441104767635807e-07,-3.3232695935574044e-05,-0.00016386310846126632,0.002502665061608053,-1.2696057356362906e-08,-4.998447778095633e-07,-0.0008533424793398149,-0.00019183902088247033
0.16,0.002410099,0.023643071190000003,7.62187806320874e-05,0.0030007393949640707,0.8962508263997669,0.20148520103517373,6.527870252418377e-05,0.002570027658432432,0.0003864068352465859,-0.032245454535952026,8.170946286467091e-05,0.0032169079867980675,0.8145827894011327,0.1831254959524827,1.3644869754321843e-05,0.0005371995966268442,-0.0007783966919905768,-0.03615397242228692,-4.9414678354487635e-06,-0.00019454597777357339,0.14379733968221795,0.03232692795450948,-5.2422139422179114e-06,-0.00020638637567787054,-0.0006058751123349086,-0.006632011469628694,-8.313021881380714e-07,-3.272843260386108e-05,-0.03813472026570973,-0.008573026158337315,-5.3903424277073646e-06,-0.00021221820581525058,-0.00026323486399456377,0.002009469206390793,3.405214129369571e-07,1.3406354840037682e-05,-0.020067072450170004,-0.0045112573486280364,-3.885019662793728e-06,-0.00015295353003124914,-0.0001402278101417484,-0.00013913522965626132,-5.8433621933639e-08,-2.300536296599961e-06,-0.003927509967703991,-0.0008829393648531123
0.18,0.001457739,0.01430041959,8.473016543030579e-05,0.0033358332846577083,0.6325319546755529,0.14219884020740503,6.752522155116866e-05,0.002658473289416089,-0.00016175493254809697,-0.022570722243516264,8.452143454781205e-05,0.0033276155333784273,0.8426160631134298,0.1894276265873691,-6.01573129985123e-06,-0.00023683981495477286,-0.0011876634134267302,-0.004772699721328419,2.1785875028599464e-06,8.577116152991915e-05,-0.06339717217803895,-0.014252251272855307,-1.5218363159911765e-05,-0.000599148155902038,-0.0003917398094344767,0.028045541759671878,-2.413304518693865e-06,-9.501198892495533e-05,-0.11070666485612374,-0.02488784832039904,-8.25541548711315e-06,-0.00032501635776036026,-2.3272441946014822e-05,0.0219867729984641,5.215152439302548e-07,2.053209621772657e-05,-0.030733116292319652,-0.006909079391836875,-5.190388044619873e-06,-0.0002043459860086564,9.690971959133916e-06,0.015131013439744491,-7.806734560259562e-08,-3.0735175434092767e-06,-0.005247155111394482,-0.0011796073948728372
