mode,peak_abs_roof_modal_m,peak_abs_roof_modal_in,roof_fraction_of_srss_modal_peaks,roof_cumulative_srss_fraction,roof_peak_modal_over_exact_total_peak,peak_abs_base_modal_kN,peak_abs_base_modal_kip,base_fraction_of_srss_modal_peaks,base_cumulative_srss_fraction,base_peak_modal_over_exact_total_peak
1,0.016431832332458353,0.646922532773951,0.9979801788460766,0.9979801788460766,1.0400315480796458,163.813190627802,36.82667025082757,0.9827072378250781,0.9827072378250781,0.8936926228906358
2,0.001036226212194764,0.040796307566723,0.06293474760744515,0.9999626092139944,0.06558659617654417,30.154313978056358,6.778959455303677,0.1808942398613942,0.9992178147375207,0.16450865676468474
3,0.0001403891393667988,0.005527131471133811,0.008526473224569689,0.999998960285314,0.00888574877074446,6.440137695400135,1.4478005487195096,0.038634067876984056,0.9999644156116505,0.03513455495690828
4,2.333963727249733e-05,0.0009188833571849343,0.0014175227027724102,0.9999999649711604,0.001477252116076162,1.3754148030467683,0.3092055481966405,0.008251045454800012,0.9999984561191316,0.007503657417248652
5,4.358047383873437e-06,0.00017157666865643453,0.0002646841094517791,1.0,0.00027583696544305206,0.29291825448245484,0.06585064320481271,0.0017572021377999017,1.0,0.0015980329919570184
