time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,Ddot_mode_1_m_per_s,Dddot_mode_1_m_per_s2,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,Ddot_mode_2_m_per_s,Dddot_mode_2_m_per_s2,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,Ddot_mode_3_m_per_s,Dddot_mode_3_m_per_s2,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,Ddot_mode_4_m_per_s,Dddot_mode_4_m_per_s2,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,Ddot_mode_5_m_per_s,Dddot_mode_5_m_per_s2,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
0.0,-0.0009429229,-0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0
0.01,-0.0009236815,-0.009061315515000001,4.556906950892893e-07,1.7940578546822413e-05,0.015224261051906291,0.00342255003655314,4.538261797648892e-07,1.7867172431688553e-05,9.076523595297785e-05,0.008902973541595569,5.680550003085152e-07,2.2364370090886425e-05,0.0056630873642010355,0.00127311268502736,4.40277683314986e-07,1.733376705964512e-05,8.805553666299721e-05,0.008361033683599441,-1.594458613339127e-07,-6.277396115508375e-06,0.00463989475327107,0.0010430898355767613,4.1922046828546447e-07,1.6504742845884428e-05,8.38440936570929e-05,0.007518745082418579,6.647933419720911e-08,2.6172966219373667e-06,0.003049638084965719,0.0006855859147177684,3.984821170749687e-07,1.568827232578617e-05,7.969642341499374e-05,0.006689211033998749,-2.517311197874883e-08,-9.910674007381429e-07,0.001483462251366016,0.0003334955808579111,3.8397903473312985e-07,1.5117284832012988e-05,7.679580694662597e-05,0.006109087740325193,5.7753338962265734e-09,2.273753502451407e-07,0.0003881785981024505,8.726602037333919e-05
0.02,-0.000904238,-0.008870574780000001,1.8091483864231816e-06,7.122631442610951e-05,0.058087290109273576,0.01305854229699206,1.795235227633176e-06,7.067855226902267e-05,0.0001775165736206795,0.008447293991944764,2.247098984715554e-06,8.84684639651793e-05,0.022401911539446533,0.005036150056596184,1.6957332378005549e-06,6.676115109451004e-05,0.0001630355742341166,0.006634973830624429,-6.141070895483453e-07,-2.4177444470407296e-05,0.017870594061859753,0.004017469363610654,1.5466942465354064e-06,6.08934742730475e-05,0.00014165066199289545,0.004042568584741932,2.4527238409149257e-07,9.656393074468212e-06,0.011251496615427256,0.002529437062404171,1.4065827464264244e-06,5.5377273481355294e-05,0.00012192370245529743,0.0017562447740619852,-8.885735009409954e-08,-3.4983208698464386e-06,0.005236401630926316,0.0011771899162941455,1.3125311607226132e-06,5.1674455146559575e-05,0.00010891461825127068,0.0003146745206037485,1.9741457258580075e-08,7.77222726715751e-07,0.0013268862616137168,0.00029829589808690564
0.03,-0.0008847564,-0.008679460284,4.033198915483399e-06,0.00015878735887729918,0.1217399805104961,0.027368236351543982,3.978870513161642e-06,0.00015664844540006466,0.0002592104834850138,0.00789148798092209,4.980358981829815e-06,0.00019607712526889038,0.04965048807574554,0.011161873748693135,3.598752479207133e-06,0.00014168316847272178,0.000217568274047199,0.00427156613199205,-1.3032824749471106e-06,-5.131033365933507e-05,0.037925685037840925,0.008526033169689522,3.0579868876898395e-06,0.00012039318455471809,0.00016060786623799114,-0.000251127735722792,4.84930836294438e-07,1.909176520844244e-05,0.022245462665898344,0.005000978950684675,2.5820637946958943e-06,0.00010165605490928718,0.00011317250719859651,-0.003506483825402168,-1.6311542790745694e-07,-6.421867240451061e-06,0.009612461904606915,0.002160967401360911,2.2809363169907944e-06,8.980064240121239e-05,8.476641300236556e-05,-0.005144315570384771,3.430700021371388e-08,1.350669299752515e-06,0.0023058828264043755,0.0005183830811157408
0.04,-0.0008651242,-0.008486868401999999,7.100744786539232e-06,0.0002795568813598123,0.1978834128228362,0.04448596089366551,6.949324248751494e-06,0.00027359544286423206,0.00033488026363295663,0.007242468048666469,8.698480969770427e-06,0.00034245988069962313,0.086717408773616,0.019494849014742174,5.919429587792687e-06,0.00023304840896821603,0.0002465671476699117,0.0015282085925504944,-2.1437119913157475e-06,-8.439810989432078e-05,0.06238229037629252,0.014024096767633562,4.550716858306444e-06,0.00017916208103568678,0.0001379381278853298,-0.00428281993480948,7.216456488813982e-07,2.8411246018952687e-05,0.03310439373760908,0.007442163768108572,3.449280127126157e-06,0.0001357984302018172,6.0270759287456e-05,-0.007073865756825934,-2.178996526207576e-07,-8.57872648113219e-06,0.01284091968929175,0.002886753583777941,2.807692623919515e-06,0.00011053907968187067,2.058484838337857e-05,-0.007691997353412628,4.222981182391268e-08,1.6625910166894755e-06,0.0028384002460268504,0.0006380977594032545
0.05,-0.0008454361,-0.008293728141,1.0984576451884103e-05,0.0004324636398379568,0.2786941630446562,0.06265294024212756,1.0641944628223667e-05,0.0004189741979615617,0.00040364381226147805,0.006510241677037808,1.3320540172893065e-05,0.000524430715468231,0.13279591359370735,0.029853708982961826,8.39072464571074e-06,0.00033034348998861184,0.000247691863913699,-0.0013032653437930301,-3.038687557992565e-06,-0.00011963336842490414,0.08842619268513437,0.01987899891987641,5.6458877195174444e-06,0.00022227904407548995,8.109604435687025e-05,-0.007085596770882427,8.953161520971778e-07,3.5248667405400705e-05,0.041071263250334104,0.009233187283077591,3.682550535705735e-06,0.0001449823045553439,-1.3616677571540352e-05,-0.007703621614973337,-2.326359277630558e-07,-9.158894793821094e-06,0.013709334683742875,0.0030819810408524396,2.66234091546127e-06,0.00010481657147485316,-4.9655190075027554e-05,-0.006356010338268596,4.004361264947917e-08,1.576520183050361e-06,0.0026914588317375732,0.0006050640153593054
0.06,-0.0008256259,-0.008099390079,1.5656816861934906e-05,0.0006164101126746026,0.358308290212636,0.08055090802656704,1.4983743116803691e-05,0.000589911146330854,0.00046471588545452685,0.0057041729615719475,1.8755176718205586e-05,0.0007383927841813223,0.18697521230962283,0.04203369986517029,1.0736790185572489e-05,0.00042270827502253897,0.00022152124405865067,-0.003930858627216639,-3.888311454285868e-06,-0.00015308312812149086,0.11315035564355262,0.025437211863583428,6.078763043841857e-06,0.00023932137967881326,5.479020508012192e-06,-0.008037807998889184,9.63960852269337e-07,3.795121465627311e-05,0.044220234197531974,0.009941104113568838,3.2198298416550044e-06,0.00012676495439586631,-7.892746123860578e-05,-0.005358535118439749,-2.034047042097238e-07,-8.008059220855267e-06,0.011986726182290347,0.0026947232442663207,1.954386828935309e-06,7.694436334390981e-05,-9.193562723016469e-05,-0.0021000770927588307,2.9395449955577976e-08,1.1573011793534637e-06,0.0019757618796382307,0.00044416893997816805
0.07,-0.0008057426,-0.007904334906,2.108761947332001e-05,0.000830221239107087,0.433501362992163,0.09745498324655212,1.9894395262435097e-05,0.0007832439079698858,0.0005174145436717542,0.004835558681873513,2.4901848352589496e-05,0.0009803877304169093,0.24825297317022144,0.05580948851975827,1.2701487223778173e-05,0.000500058552117251,0.0001714181635824861,-0.006089757468016276,-4.599823355498395e-06,-0.0001810954076967872,0.13385544205788252,0.030091900457177106,5.757728800869658e-06,0.00022668223625471097,-6.968586910245189e-05,-0.006995169923203631,9.130517379921113e-07,3.594691881858706e-05,0.04188485620907105,0.009416090256244609,2.2682063823820997e-06,8.929946387331102e-05,-0.00011139723061597517,-0.001135418757034129,-1.4328827018321437e-07,-5.641270479654109e-06,0.008444039023056779,0.0018982954882661065,1.052540933770017e-06,4.143861943976445e-05,-8.843355180289371e-05,0.002800492178213026,1.583100842001119e-08,6.232680480319367e-07,0.0010640525319312115,0.00023920852510602662
0.08,-0.0007857235,-0.007707947535,2.7242583432020748e-05,0.0010725426548039666,0.503513436845247,0.1131943235736828,2.5287311167723224e-05,0.000995563431800127,0.0005611686373858712,0.003915260060949895,3.165217035435087e-05,0.0012461484391476723,0.3155486808247642,0.07093816543272313,1.4074151255786551e-05,0.0005541004431412028,0.00010311464281918963,-0.007570946684643021,-5.096931447050415e-06,-0.00020066659240355964,0.14832135046406225,0.033343966036947593,4.77835799749847e-06,0.000188124330610176,-0.00012618829157178574,-0.004305314570663136,7.577446290463531e-07,2.9832465710486344e-05,0.03476037940697354,0.007814444156226664,1.2065596227475922e-06,4.750234735226741e-05,-0.00010093212131092633,0.0032284406180439,-7.622138909372402e-08,-3.0008420903040956e-06,0.004491759046822501,0.0010097876039747297,3.870341258456996e-07,1.5237564009673212e-05,-4.466780978196976e-05,0.005952656225971763,5.821284767660863e-09,2.2918443967168752e-07,0.0003912671026245185,8.796034381070398e-05
0.09,-0.0007656426,-0.007510953906,3.407838989314769e-05,0.0013416688934310115,0.5692523441362461,0.12797301784230217,3.107077875730095e-05,0.0012232590061929506,0.0005955248805296735,0.002955988567810562,3.8891346562924535e-05,0.0015311553764930919,0.3877179026285209,0.08716245191075425,1.4710051601274392e-05,0.0005791358898139525,2.4065426278378584e-05,-0.00823889662351919,-5.3272217437228065e-06,-0.00020973313951664594,0.15502282725574743,0.034850517951693576,3.391392095615832e-06,0.00013351937384314299,-0.0001512048888047419,-0.0006980048759280995,5.378017190818436e-07,2.1173296026844234e-05,0.024670833793351655,0.005546224070472007,4.2951888772956815e-07,1.691019243029796e-05,-5.447602569267848e-05,0.00606277850560567,-2.7133782407028018e-08,-1.0682591498829928e-06,0.0015990053979653416,0.0003594707135273204,2.3915938402814274e-07,9.415723780635542e-06,1.5092861418458399e-05,0.005999478014113869,3.5971372711491126e-09,1.4161957760429577e-07,0.00024177506066083165,5.4353195855029954e-05
