mode,quantity,time_of_peak_total_s,total_at_peak_m,modal_value_at_peak_m,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,roof displacement,11.92,-0.05652730770643359,-0.05549734313041414,0.981779344925316,0.981779344925316
2,roof displacement,11.92,-0.05652730770643359,-0.0010575177054669767,0.018708085496642476,1.0004874304219586
3,roof displacement,11.92,-0.05652730770643359,1.8848889235412677e-05,-0.0003334474964436952,1.0001539829255148
4,roof displacement,11.92,-0.05652730770643359,9.524979810802348e-06,-0.0001685022725700816,0.9999854806529448
5,roof displacement,11.92,-0.05652730770643359,-8.207395986837979e-07,1.4519347055164746e-05,1.0
