mode,force_distribution,roof_modal_static_displacement_m,roof_modal_static_displacement_in,roof_modal_factor,roof_cumulative_factor,base_modal_static_shear_kN,base_modal_static_shear_kip,base_modal_factor,base_cumulative_factor
1,earthquake_s_equals_Mr,0.010001040848933142,0.3937417657060292,1.0300284590869724,1.0300284590869724,99.70296543414244,22.41411828315653,0.8795300014310623,0.8795300014310623
2,earthquake_s_equals_Mr,-0.00033959941178893243,-0.013370055582241434,-0.034976065403143596,0.9950523936838288,9.882385881898525,2.221648725413108,0.08717749598521035,0.9667074974162726
3,earthquake_s_equals_Mr,5.983992052497799e-05,0.0023559023828731494,0.006163040633596158,1.0012154343174249,2.7450651068938625,0.6171151854207031,0.02421559987590839,0.990923097292181
4,earthquake_s_equals_Mr,-1.4445048226406688e-05,-0.0005687026860790035,-0.0014877262267826731,0.9997277080906422,0.851252867787108,0.19136925751781733,0.0075093296649991524,0.9984324269571802
5,earthquake_s_equals_Mr,2.6438128814096904e-06,0.00010408712131534214,0.00027229190936093505,1.000000000000003,0.17769909002514098,0.03994834461833225,0.0015675730428233575,1.0000000000000036
