mode,sa_roof_modal_factor,sa_roof_cumulative_factor,sa_base_modal_factor,sa_base_cumulative_factor,sb_roof_modal_factor,sb_roof_cumulative_factor,sb_base_modal_factor,sb_base_cumulative_factor
1,0.8795300014310612,0.8795300014310612,1.2517016991016383,1.2517016991016383,0.7923202428172326,0.7923202428172326,1.353107126606215,1.353107126606215
2,0.0871774959852104,0.9667074974162716,-0.36214840628168077,0.8895532928199575,0.1227952082890476,0.9151154511062801,-0.6121316765755688,0.7409754500306461
3,0.024215599875908368,0.99092309729218,0.1585784550766272,1.0481317478965848,0.054795267723053445,0.9699107188293336,0.43059923085416635,1.1715746808848124
4,0.007509329664999172,0.9984324269571792,-0.06317250109874537,0.9849592467978394,0.023972471296533075,0.9938831901258667,-0.24200311402683009,0.9295715668579824
5,0.0015675730428233586,1.0000000000000024,0.015040753202165108,1.0000000000000044,0.006116809874135187,1.0000000000000018,0.07042843314202192,1.0000000000000042
