mode,quantity,time_of_peak_total_s,total_at_peak_kN,modal_value_at_peak_kN,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,base shear,11.65,540.4701149697014,535.4262147638101,0.990667568721771,0.990667568721771
2,base shear,11.65,540.4701149697014,1.8729102346211257,0.003465335423265948,0.9941329041450369
3,base shear,11.65,540.4701149697014,2.093241869384744,0.0038730020613666873,0.9980059062064036
4,base shear,11.65,540.4701149697014,0.8800574689137298,0.0016283184667168242,0.9996342246731205
5,base shear,11.65,540.4701149697014,0.19769063297167808,0.00036577532687956404,1.0
