mode,peak_abs_roof_modal_m,peak_abs_roof_modal_in,roof_fraction_of_srss_modal_peaks,roof_cumulative_srss_fraction,roof_peak_modal_over_exact_total_peak,peak_abs_base_modal_kN,peak_abs_base_modal_kip,base_fraction_of_srss_modal_peaks,base_cumulative_srss_fraction,base_peak_modal_over_exact_total_peak
1,0.055593811639158726,2.1887327416991624,0.9994819958384698,0.9994819958384698,0.9834859273305064,554.2291011442627,124.59565846334425,0.9955308875089499,0.9955308875089499,1.025457441204372
2,0.0017794029462545188,0.07005523410450862,0.03199063269248132,0.9999938302736253,0.031478643127594026,51.7808510375264,11.640798394549858,0.09301106073811047,0.9998663937766814,0.0958070568627633
3,0.0001907959373414951,0.007511651076436815,0.003430185817977399,0.9999997133799899,0.0033752878932845386,8.752472689441941,1.9676341348225235,0.01572157955334421,0.9999899866836857,0.016194184372123152
4,4.156680522250618e-05,0.0016364883945868575,0.0007473003238935334,0.9999999926089179,0.0007353402613543418,2.4495496031451127,0.5506806573533681,0.0043999896168958035,0.9999996666880778,0.004532257261407384
5,6.7627056152057615e-06,0.00026624825256715595,0.00012158192263242636,1.0,0.00011963608191507893,0.45454299825077255,0.10218533103012974,0.0008164702891373155,1.0,0.0008410141202280058
