mode,quantity,time_of_peak_total_s,total_at_peak_kN,modal_value_at_peak_kN,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,base shear,11.65,540.49063262481,535.4262147638101,0.9906299618248602,0.9906299618248602
2,base shear,11.65,540.49063262481,1.9245528917788897,0.003560751612720082,0.9941907134375804
3,base shear,11.65,540.49063262481,2.093241869384744,0.003872855037689063,0.9980635684752696
4,base shear,11.65,540.49063262481,0.8473800315376838,0.0015677978125587717,0.9996313662878282
5,base shear,11.65,540.49063262481,0.19924306829850275,0.0003686337121716787,1.0
