mode,quantity,time_of_peak_total_s,total_at_peak_m,modal_value_at_peak_m,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,roof displacement,11.92,-0.056478121925144203,-0.05549734313041414,0.9826343589110491,0.9826343589110491
2,roof displacement,11.92,-0.056478121925144203,-0.0010092375213573645,0.017869530482883308,1.0005038893939324
3,roof displacement,11.92,-0.056478121925144203,1.8848889235412677e-05,-0.00033373788987521385,1.0001701515040573
4,roof displacement,11.92,-0.056478121925144203,1.044023999642802e-05,-0.00018485458865408904,0.9999852969154032
5,roof displacement,11.92,-0.056478121925144203,-8.304026045325429e-07,1.4703084596778094e-05,1.0
