mode,peak_abs_roof_modal_m,peak_abs_roof_modal_in,roof_fraction_of_srss_modal_peaks,roof_cumulative_srss_fraction,roof_peak_modal_over_exact_total_peak,peak_abs_base_modal_kN,peak_abs_base_modal_kip,base_fraction_of_srss_modal_peaks,base_cumulative_srss_fraction,base_peak_modal_over_exact_total_peak
1,0.055593811639158726,2.1887327416991624,0.9995518408515394,0.9995518408515394,0.9843424275481834,554.2291011442627,124.59565846334425,0.9961190035977974,0.9961190035977974,1.0254185136433058
2,0.0016534244749216082,0.06509545176856725,0.029727831729616096,0.9999938132453846,0.029275486127407848,48.11486157080351,10.816651177121214,0.08647710462550995,0.9998656704543267,0.08902071315674992
3,0.0001907959373414951,0.007511651076436815,0.003430425523519155,0.999999697174113,0.003378227370845918,8.752472689441941,1.9676341348225235,0.015730867174645998,0.999989409511494,0.016193569621987522
4,4.272292437354215e-05,0.0016820048965961478,0.0007681390508229842,0.9999999921929595,0.0007564508683586696,2.5176801990003668,0.5659970246003413,0.004525040431886948,0.9999996475629662,0.004658138452416165
5,6.9499125340253535e-06,0.0002736186037017856,0.0001249563155020135,1.0,0.00012305495114084582,0.4671257719238149,0.10501405108082924,0.0008395677122022578,1.0,0.0008642624751057943
