mode,quantity,time_of_peak_total_s,total_at_peak_kN,modal_value_at_peak_kN,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,base shear,14.02,-181.92955912100055,-163.813190627802,0.9004209729263981,0.9004209729263981
2,base shear,14.02,-181.92955912100055,-17.35769651271186,0.09540888570596344,0.9958298586323616
3,base shear,14.02,-181.92955912100055,-0.5877035977914703,0.0032303909305941383,0.9990602495629557
4,base shear,14.02,-181.92955912100055,-0.13143686910673183,0.0007224602188988637,0.9997827097818545
5,base shear,14.02,-181.92955912100055,-0.03953151358850686,0.0002172902181454451,1.0
