time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
0.0,-0.0002180011,-0.0002180011,-0.002138590791
0.02,0.0001291326,0.0001291326,0.001266790806
0.04,5.806444e-05,5.806444e-05,0.0005696121564000001
0.06,-0.001951005,-0.001951005,-0.019139359050000002
0.08,-0.001375397,-0.001375397,-0.01349264457
0.1,-0.00152093,-0.00152093,-0.0149203233
0.12,-0.001118726,-0.001118726,-0.010974702060000001
0.14,0.0004013978,0.0004013978,0.003937712418
0.16,0.002410099,0.002410099,0.023643071190000003
0.18,0.001457739,0.001457739,0.01430041959
0.2,0.0008531971,0.0008531971,0.008369863551
0.22,0.002865974,0.002865974,0.02811520494
0.24,0.002582728,0.002582728,0.02533656168
0.26,-0.0006207787,-0.0006207787,-0.006089839047000001
0.28,-0.0001094474,-0.0001094474,-0.001073678994
0.3,0.002047142,0.002047142,0.02008246302
0.32,0.0008061102,0.0008061102,0.007907941062
0.34,0.001112416,0.001112416,0.01091280096
0.36,0.001541121,0.001541121,0.01511839701
0.38,0.002519604,0.002519604,0.02471731524
0.4,0.002561725,0.002561725,0.025130522250000002
0.42,0.002299885,0.002299885,0.02256187185
0.44,0.001178184,0.001178184,0.011557985040000001
0.46,0.00134678,0.00134678,0.0132119118
0.48,-0.003303105,-0.003303105,-0.032403460050000006
0.5,-0.004010692,-0.004010692,-0.039344888519999996
0.52,-0.00245184,-0.00245184,-0.0240525504
0.54,-0.0007797705,-0.0007797705,-0.0076495486050000006
0.56,-0.001103842,-0.001103842,-0.010828690020000002
0.58,-0.001753295,-0.001753295,-0.017199823950000002
0.6,0.00220867,0.00220867,0.021667052699999998
0.62,0.001912134,0.001912134,0.01875803454
0.64,0.001364675,0.001364675,0.013387461750000001
0.66,-0.002338663,-0.002338663,-0.02294228403
0.68,-0.001324505,-0.001324505,-0.012993394049999999
0.7000000000000001,-0.0008642077,-0.0008642077,-0.008477877537
0.72,-0.003036532,-0.003036532,-0.029788378920000004
0.74,0.001483362,0.001483362,0.01455178122
0.76,0.001629495,0.001629495,0.01598534595
0.78,-0.001835173,-0.001835173,-0.01800304713
0.8,-0.002649884,-0.002649884,-0.02599536204
0.8200000000000001,0.002007703,0.002007703,0.019695566430000002
0.84,0.00322279,0.00322279,0.0316155699
0.86,0.001838915,0.001838915,0.018039756150000003
0.88,-0.0006577811,-0.0006577811,-0.006452832591
0.9,-0.001907019,-0.001907019,-0.018707856390000003
0.92,-0.002577919,-0.002577919,-0.025289385390000002
0.9400000000000001,-0.001454639,-0.001454639,-0.014270008590000001
0.96,0.002883678,0.002883678,0.028288881180000003
0.98,0.003183814,0.003183814,0.031233215340000002
1.0,0.002490468,0.002490468,0.024431491080000003
