mode,quantity,time_of_peak_total_s,total_at_peak_m,modal_value_at_peak_m,modal_fraction_at_peak_total,cumulative_fraction_at_peak_total
1,roof displacement,14.02,-0.01584651969256975,-0.016431832332458353,1.0369363526656927,1.0369363526656927
2,roof displacement,14.02,-0.01584651969256975,0.0005964818209057139,-0.03764118762212483,0.9992951650435679
3,roof displacement,14.02,-0.01584651969256975,-1.2811403451147716e-05,0.0008084679601385807,1.0001036330037065
4,roof displacement,14.02,-0.01584651969256975,2.2303735879448143e-06,-0.0001407484817622516,0.9999628845219444
5,roof displacement,14.02,-0.01584651969256975,-5.881511539092855e-07,3.711547805573124e-05,1.0
