mode,peak_abs_roof_modal_m,peak_abs_roof_modal_in,roof_fraction_of_srss_modal_peaks,roof_cumulative_srss_fraction,roof_peak_modal_over_exact_total_peak,peak_abs_base_modal_kN,peak_abs_base_modal_kip,base_fraction_of_srss_modal_peaks,base_cumulative_srss_fraction,base_peak_modal_over_exact_total_peak
1,0.016431832332458353,0.646922532773951,0.9984140599885292,0.9984140599885292,1.0369363526656927,163.813190627802,36.82667025082757,0.9862523314306019,0.9862523314306019,0.9004209729263981
2,0.0009155120655868592,0.03604378210971887,0.05562740051609989,0.9999625207331306,0.057773699420960695,26.64151702738076,5.98925128549841,0.1603976955726481,0.999210229129643,0.14643863897708675
3,0.0001403891393667988,0.005527131471133811,0.008530180187916441,0.9999989034218962,0.008859304256733775,6.440137695400135,1.4478005487195096,0.03877343938226491,0.9999622300861387,0.035399072731863365
4,2.3957965924853728e-05,0.0009432270049155011,0.0014557092321864874,0.9999999629671813,0.0015118755657172684,1.4118531748890377,0.3173972200587753,0.008500191468315668,0.9999983574255721,0.007760438609923858
5,4.4790270469323816e-06,0.0001763396475170229,0.0002721500249179545,1.0,0.0002826505209867972,0.3010496832186897,0.06767866110489629,0.001812497215962814,1.0,0.0016547595930712
